Parent Category,Property,Definition,Phrases,Keywords
Functional Correctness,Safety,"Absence of hazardous physical states, damage, injury, or unsafe operation.",unsafe state | hazardous condition | risk to life | loss of life | physical damage | equipment damage | safety system | unsafe shutdown,injury | fatality | explosion | fire | hazard | unsafe | damage
Functional Correctness,Liveness,A required operation or progress condition eventually completes.,failed to complete | never completed | command not executed | process stalled | unable to complete | no progress,deadlock | stalled | unfinished | blocked
Functional Correctness,Reachability,An attacker or system state reaches a protected component or forbidden state.,gained access | unauthorized access | remote access | lateral movement | reached scada | accessed scada | accessed control system | penetrated the network | compromised the network | compromised a server | accessed the server | accessed the system,intrusion | penetrated | breached | accessed | foothold
Functional Correctness,Timing Constraints,"A real-time response, deadline, synchronization, or latency constraint is violated.",missed deadline | delayed response | real-time deadline | timing violation | response-time violation | time constraint,latency | deadline | timing | synchronization
Functional Correctness,Hybrid Dynamics,Cyber actions adversely manipulate or destabilize continuous physical dynamics.,voltage instability | frequency deviation | pressure manipulation | flow manipulation | physical process manipulation | setpoint manipulation | sensor reading manipulation | actuator manipulation,voltage | frequency | pressure | temperature | setpoint | actuator
Information Protection,Confidentiality,"Information is disclosed, copied, or obtained by an unauthorized party.",data theft | data was stolen | data were stolen | stolen data | data exfiltration | data was exfiltrated | data were exfiltrated | unauthorized disclosure | copied files | internal data stolen | information was stolen | information stolen | data breach,stolen | exfiltrated | leaked | exposed | disclosed | copied
Information Protection,Integrity,"Data, firmware, software, commands, configuration, or devices are modified or destroyed.",files were deleted | files deleted | data was wiped | data were wiped | firmware was corrupted | firmware corrupted | factory reset | configuration was modified | destructive attack | destructive cyberattack | attacks were destructive | attack was destructive | were destructive | systems were wiped | tampered with | undocumented devices | rogue communication devices | undocumented communication devices | unapproved hardware,modified | altered | corrupted | wiped | deleted | tampered | falsified | manipulated | destroyed | destructive
Information Protection,Availability,"An authorized user, service, system, communication path, or resource becomes unavailable.",service interruption | services were disrupted | systems were disrupted | services disrupting | website availability | loss of service | loss of access | loss of communication | systems were disconnected | disconnect all systems | forced to disconnect | power outage | electricity outage | remained unavailable | became unavailable | taken offline | electricity supply | scada systems | operational technologies | oil transport | telecommunications systems,unavailable | offline | outage | disrupted | disrupting | disruption | inaccessible | disconnected | shutdown | interrupted | downtime
Information Protection,Authenticity,"The identity or origin of a user, device, message, command, or artifact cannot be trusted.",forged identity | fake certificate | spoofed command | impersonated user | masqueraded as | credential impersonation,impersonated | spoofed | forged | masqueraded | counterfeit
Information Protection,Authorization,An entity performs an action or accesses a resource without permitted privileges.,unauthorized action | without authorization | without permission | privilege escalation | administrative access | access control bypass | unauthorized command | unauthorized administrator,unauthorized | privilege | permission | administrator
Information Protection,Accountability,Actions cannot be traced reliably to responsible entities because evidence or auditability is missing.,logs were deleted | logs deleted | audit trail erased | evidence was destroyed | forensic evidence destroyed | forensic artifacts removed | monitoring was disabled,traceability | audit trail | logs | forensic | evidence erased
Information Protection,Non-repudiation,The system lacks reliable proof that a specific entity performed an action or sent a message.,denied the action | proof of origin | cannot verify the transaction | transaction could not be verified | signature could not be verified,repudiated | non-repudiation | digital signature
Operational Assurance,Privacy,Personal or personally identifiable information is exposed or improperly processed.,personal data | customer data | sensitive customer data | personally identifiable information | identity documents | passport scans | customer records | personal information | names and email addresses | telephone numbers,privacy | personal | customer | passport | identity | email | phone
Operational Assurance,Reliability,"The system fails to provide correct, stable, or consistent service over time.",repeated failures | unstable operation | degraded performance | incorrect operation | intermittent failures | service instability,unreliable | unstable | intermittent | malfunction | degraded
Operational Assurance,Resilience,"The system cannot maintain essential functions, contain disruption, or adapt during attack.",unable to contain | cascading disruption | essential service failed | failover failed | redundancy failed | lost core function | service continuity failed,cascading | failover | redundancy | continuity
Operational Assurance,Recoverability,The system cannot be restored promptly and correctly after disruption.,weeks to restore | days to restore | for weeks | for several weeks | restoration took | rebuilding systems | rebuild the systems | recovery process | disaster recovery | systems were restored | restore operations,restore | restored | restoration | recovery | rebuild | backups
Operational Assurance,Compliance,"A legal, regulatory, policy, audit, or mandatory reporting obligation is violated.",regulatory violation | mandatory reporting | legal requirement | compliance violation | reporting obligation | data protection authority,non-compliance | regulatory | compliance | gdpr | nis2
Operational Assurance,Explainability,An automated or algorithmic system action cannot be explained or justified.,unexplained automated decision | unable to explain the decision | lack of transparency | opaque decision | black-box decision,unexplained | opaque | explainability | black-box
